rascal>obtainProjectDataFromOhloh(["firefox",
"apache",
"subversion",
"mysql",
"php",
"linux",
"firebug",
"bash",
"ubuntu",
"openoffice",
"gimp",
"putty",
"phpmyadmin",
"gcc",
"vim",
"git",
"tortoisesvn",
"python",
"grep",
"vlc",
"thunderbird",
"sudo",
"x",
"jQuery",
"eclipse",
"tar",
"openssh",
"make",
"sevenzip",
"coreutils",
"gnome",
"wget",
"pidgin",
"grub",
"filezilla",
"debian",
"postgres",
"chrome",
"cakephp",
"openssl",
"screen",
"rsync",
"notepad-plus",
"tomcat",
"trac",
"wordpress",
"man",
"inkscape",
"subclipse",
"junit",
"findutils",
"sqlite",
"mplayer",
"bzip2",
"perl",
"ant",
"imagemagick",
"wireshark",
"samba",
"ruby",
"gnupg",
"gdb",
"com",
"kde",
"sed",
"eclipse-jdt",
"maven2",
"hibernate",
"log4j",
"cups",
"emacs",
"wine",
"latex",
"spring",
"audacity",
"diffutils",
"curl",
"django",
"rails",
"funbird",
"mercurial",
"winscp",
"nmap",
"netbeans",
"ffmpeg",
"android-scripting",
"phpbb",
"virtualbox",
"gtk",
"adblock-plus",
"glibc",
"mediawiki",
"drupal",
"autoconf",
"amarok",
"binutils",
"postfix",
"facebook-pidgin",
"cygwin",
"lame"]);>>>>>>>"lame"]);
$2013-04-24T16:03:52.217+01:00   obtainMetaDataFromOhloh   Reading meta data for project firefox from Ohloh, URL: |http://www.ohloh.net/projects/firefox.xml?api_key=
$2013-04-24T16:03:55.144+01:00   obtainActivityFactsFromOhloh   Reading activity facts for project firefox from Ohloh, URL: |http://www.ohloh.net/projects/firefox/analyses/latest/activity_facts.xml?api_key=
$2013-04-24T16:03:58.533+01:00   obtainSizeFactsFromOhloh   Reading size facts for project firefox from Ohloh, URL: |http://www.ohloh.net/projects/firefox/analyses/latest/size_facts.xml?api_key=
$2013-04-24T16:04:23.294+01:00   obtainMetaDataFromOhloh   Reading meta data for project apache from Ohloh, URL: |http://www.ohloh.net/projects/apache.xml?api_key=
$2013-04-24T16:04:26.019+01:00   obtainActivityFactsFromOhloh   Reading activity facts for project apache from Ohloh, URL: |http://www.ohloh.net/projects/apache/analyses/latest/activity_facts.xml?api_key=
$2013-04-24T16:04:29.471+01:00   obtainSizeFactsFromOhloh   Reading size facts for project apache from Ohloh, URL: |http://www.ohloh.net/projects/apache/analyses/latest/size_facts.xml?api_key=
$2013-04-24T16:04:35.682+01:00   obtainMetaDataFromOhloh   Reading meta data for project subversion from Ohloh, URL: |http://www.ohloh.net/projects/subversion.xml?api_key=
$2013-04-24T16:04:37.746+01:00   obtainActivityFactsFromOhloh   Reading activity facts for project subversion from Ohloh, URL: |http://www.ohloh.net/projects/subversion/analyses/latest/activity_facts.xml?api_key=
$2013-04-24T16:04:40.918+01:00   obtainSizeFactsFromOhloh   Reading size facts for project subversion from Ohloh, URL: |http://www.ohloh.net/projects/subversion/analyses/latest/size_facts.xml?api_key=
$2013-04-24T16:04:48.825+01:00   obtainMetaDataFromOhloh   Reading meta data for project mysql from Ohloh, URL: |http://www.ohloh.net/projects/mysql.xml?api_key=
